	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000000377	218	210	94	111	201	83	63	106	176	150	61	86
PENG0000000378	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000379	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000380	161	105	143	127	146	139	194	124	144	109	131	134
PENG0000000381	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000382	0	0	1	0	0	0	0	0	0	0	0	0
PENG0000000383	10768	8980	6065	6441	11999	7220	6579	6642	11211	6938	6916	5383
PENG0000000384	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000385	640	1190	505	887	654	749	552	717	639	857	529	902
PENG0000000386	7	746	4	620	9	78	0	17646	7	966	3	2180
PENG0000000387	1647	1743	1490	1865	1898	1099	1304	1674	1757	1182	1853	1588
PENG0000000388	3992	1855	3411	2232	3691	1978	3486	1764	3458	1236	3408	2285
PENG0000000389	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000390	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000391	0	33	3	29	0	18	15	6	2	31	15	26
PENG0000000392	8	57	5	42	1	108	4	24	5	55	7	50
PENG0000000393	3	5	3	1	1	10	1	6	0	4	0	0
PENG0000000394	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000395	0	1	0	0	0	3	0	0	0	0	0	0
PENG0000000396	2	0	0	1	0	0	0	1	0	0	1	0
PENG0000000397	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000398	445	291	265	254	360	375	414	84	138	285	101	231
PENG0000000399	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000400	0	0	0	0	1	0	0	0	0	0	0	0
PENG0000000401	3	4	0	0	1	0	1	0	0	0	0	3
PENG0000000402	271	641	221	445	201	398	282	605	206	420	247	323
PENG0000000403	155	288	898	705	175	418	816	500	116	227	767	788
PENG0000000404	10	15	6	6	7	6	7	36	1	12	0	10
PENG0000000405	4	39	20	26	6	68	26	5	14	33	23	24
PENG0000000406	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000407	7	0	0	0	0	0	0	0	0	0	0	0
